iter	Passed	Remaining
0	144	143975
1	146	73125
2	148	49453
3	150	37481
4	152	30358
5	154	25566
6	156	22144
7	157	19536
8	159	17525
9	160	15909
10	162	14623
11	164	13543
12	165	12603
13	167	11786
14	169	11100
15	170	10489
16	172	9946
17	173	9491
18	175	9080
19	177	8705
20	179	8360
21	180	8033
22	182	7747
23	184	7485
24	185	7232
25	186	7003
26	188	6787
27	189	6592
28	191	6413
29	193	6254
30	195	6103
31	196	5954
32	198	5815
33	200	5685
34	201	5566
35	203	5448
36	204	5330
37	206	5219
38	207	5119
39	209	5016
40	210	4924
41	212	4842
42	213	4756
43	215	4678
44	216	4602
45	218	4530
46	219	4460
47	221	4390
48	222	4326
49	224	4260
50	225	4199
51	227	4141
52	228	4084
53	230	4032
54	231	3981
55	233	3931
56	234	3878
57	235	3828
58	237	3787
59	238	3744
60	240	3701
61	246	3729
62	248	3695
63	250	3656
64	251	3617
65	253	3582
66	254	3548
67	255	3504
68	257	3471
69	258	3433
70	259	3401
71	261	3372
72	263	3346
73	264	3315
74	266	3286
75	267	3258
76	269	3228
77	270	3200
78	272	3173
79	273	3147
80	275	3123
81	276	3100
82	278	3072
83	279	3048
84	280	3019
85	282	2998
86	283	2970
87	284	2944
88	285	2925
89	287	2906
90	288	2884
91	290	2863
92	291	2843
93	293	2825
94	294	2805
95	295	2786
96	297	2767
97	298	2750
98	300	2732
99	302	2718
100	303	2701
101	304	2678
102	305	2662
103	307	2645
104	308	2629
105	309	2614
106	311	2600
107	312	2584
108	314	2571
109	316	2559
110	318	2553
111	320	2541
112	321	2524
113	323	2512
114	325	2501
115	326	2484
116	327	2471
117	329	2459
118	330	2445
119	331	2431
120	333	2420
121	334	2407
122	335	2390
123	336	2380
124	338	2370
125	340	2358
126	341	2349
127	342	2336
128	344	2325
129	345	2313
130	347	2303
131	348	2294
132	350	2286
133	352	2275
134	353	2264
135	355	2256
136	356	2246
137	357	2235
138	359	2225
139	360	2216
140	362	2208
141	363	2199
142	365	2188
143	366	2181
144	368	2174
145	370	2165
146	371	2156
147	373	2148
148	375	2141
149	376	2133
150	377	2125
151	379	2116
152	381	2110
153	382	2102
154	384	2095
155	385	2088
156	387	2080
157	389	2073
158	390	2064
159	391	2057
160	393	2050
161	394	2042
162	396	2034
163	398	2028
164	400	2028
165	403	2027
166	405	2024
167	408	2022
168	410	2019
169	413	2017
170	415	2014
171	418	2013
172	420	2011
173	423	2009
174	425	2007
175	428	2004
176	430	2002
177	433	2001
178	435	1998
179	437	1994
180	439	1986
181	441	1984
182	444	1982
183	446	1981
184	449	1978
185	451	1976
186	453	1973
187	456	1971
188	458	1968
189	460	1964
190	463	1964
191	466	1961
192	468	1958
193	470	1956
194	473	1954
195	475	1952
196	478	1950
197	481	1948
198	483	1946
199	485	1942
200	488	1940
201	490	1936
202	493	1935
203	495	1933
204	498	1931
205	500	1929
206	502	1926
207	505	1924
208	508	1923
209	510	1920
210	512	1917
211	515	1915
212	517	1913
